fold_name,class_label,accuracy
A,0,0.965035
A,1,0.806667
A,2,0.973856
A,3,0.855072
A,4,0.980263
A,5,0.830645
A,6,1.000000
A,7,0.758865
A,8,0.838926
A,9,0.966443
A,10,0.707692
A,11,0.654412
A,12,0.974026
A,13,0.918519
A,14,0.809211
A,15,0.940741
A,16,0.964029
A,17,0.973684
A,18,0.800000
A,19,0.926667
A,20,0.901316
A,21,0.905405
A,22,0.949275
A,23,0.937500
A,24,0.971631
A,25,0.885906
A,26,0.762821
A,27,0.688406
A,28,0.934783
A,29,0.892617
A,30,0.857143
A,31,0.855172
A,32,0.739726
A,33,0.875000
A,34,0.925170
A,35,0.972222
A,36,0.869919
A,37,0.980000
A,38,0.944099
A,39,0.811024
A,40,0.944828
A,41,0.942029
A,42,0.963768
A,43,0.888060
A,44,0.927536
B,0,0.973913
B,1,0.821918
B,2,0.906977
B,3,0.890511
B,4,0.921986
B,5,0.921053
B,6,0.986395
B,7,0.666667
B,8,0.870229
B,9,0.933884
B,10,0.891892
B,11,0.822222
B,12,0.961538
B,13,0.947368
B,14,0.962121
B,15,0.959677
B,16,0.975610
B,17,0.982906
B,18,0.886525
B,19,0.913386
B,20,0.939394
B,21,0.916667
B,22,0.901961
B,23,0.860294
B,24,0.946667
B,25,0.897959
B,26,0.828571
B,27,0.732877
B,28,0.993197
B,29,0.838235
B,30,0.796992
B,31,0.848684
B,32,0.857143
B,33,0.931298
B,34,0.962687
B,35,0.993151
B,36,0.918519
B,37,0.992481
B,38,0.966942
B,39,0.918699
B,40,0.892086
B,41,0.940299
B,42,0.909091
B,43,0.945578
B,44,0.770370
C,0,0.956835
C,1,0.788321
C,2,0.972222
C,3,0.929577
C,4,0.910448
C,5,0.811688
C,6,1.000000
C,7,0.564286
C,8,0.962687
C,9,0.821705
C,10,0.751880
C,11,0.923664
C,12,0.917197
C,13,0.885135
C,14,0.850000
C,15,0.903704
C,16,0.905797
C,17,0.973333
C,18,0.947020
C,19,0.944056
C,20,0.939850
C,21,0.828571
C,22,0.979021
C,23,0.755556
C,24,0.829787
C,25,0.848000
C,26,0.934783
C,27,0.765625
C,28,0.880597
C,29,0.725806
C,30,0.842520
C,31,0.978723
C,32,0.846154
C,33,0.904110
C,34,0.918367
C,35,0.985816
C,36,0.825806
C,37,0.986486
C,38,0.946970
C,39,0.874126
C,40,0.953020
C,41,0.870229
C,42,0.881481
C,43,0.753247
C,44,0.700680
D,0,0.917241
D,1,0.816327
D,2,0.930556
D,3,0.916667
D,4,0.968504
D,5,0.835616
D,6,0.992481
D,7,0.576389
D,8,0.888889
D,9,0.966667
D,10,0.791946
D,11,0.954839
D,12,0.918033
D,13,0.935252
D,14,0.882353
D,15,0.930070
D,16,0.893491
D,17,0.905109
D,18,0.887097
D,19,0.985612
D,20,0.948052
D,21,0.848000
D,22,0.924242
D,23,0.625850
D,24,0.949153
D,25,0.911565
D,26,0.740458
D,27,0.625850
D,28,0.868421
D,29,0.958904
D,30,0.567901
D,31,0.893130
D,32,0.949275
D,33,0.925676
D,34,0.851562
D,35,0.972414
D,36,0.905109
D,37,0.977778
D,38,0.943548
D,39,0.956790
D,40,0.954545
D,41,0.919708
D,42,0.928058
D,43,0.920290
D,44,0.694444
E,0,0.936709
E,1,0.933333
E,2,0.900000
E,3,0.968504
E,4,0.910959
E,5,0.830645
E,6,1.000000
E,7,0.909836
E,8,0.977444
E,9,0.986755
E,10,0.621429
E,11,0.930070
E,12,0.978102
E,13,0.965517
E,14,0.869919
E,15,0.963190
E,16,0.977099
E,17,0.993056
E,18,0.777778
E,19,0.964539
E,20,0.899225
E,21,0.951049
E,22,0.925373
E,23,0.855072
E,24,0.880000
E,25,0.818182
E,26,0.940741
E,27,0.659574
E,28,0.837209
E,29,0.875862
E,30,0.834483
E,31,0.916031
E,32,0.910448
E,33,0.877698
E,34,0.881944
E,35,1.000000
E,36,0.960000
E,37,0.925373
E,38,0.870370
E,39,0.882759
E,40,0.925926
E,41,0.937500
E,42,0.894309
E,43,0.874016
E,44,0.897059
